#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             5459.75           5.656e-13                       |         5.49095579e+14      5.62385624e-27                    
              5462.5          5.6211e-13                       |         5.48819147e+14      5.59478636e-27                    
             5465.25           5.751e-13                       |         5.48542993e+14      5.72984309e-27                    
                5468           5.873e-13                       |         5.48267116e+14      5.85728435e-27                    
             5470.75          5.1045e-13                       |         5.47991517e+14      5.09596272e-27                    
              5473.5          5.3472e-13                       |         5.47716194e+14      5.34362495e-27                    
             5476.25          5.0171e-13                       |         5.47441149e+14      5.01878493e-27                    
                5479          5.0323e-13                       |         5.47166379e+14      5.03904713e-27                    
             5481.75          5.1205e-13                       |         5.46891885e+14      5.13251369e-27                    
              5484.5          5.1343e-13                       |         5.46617666e+14      5.15151084e-27                    
             5487.25          5.8184e-13                       |         5.46343722e+14      5.84375991e-27                    
                5490           5.286e-13                       |         5.46070053e+14      5.31436211e-27                    
             5492.75          4.6631e-13                       |         5.45796657e+14      4.69281777e-27                    
              5495.5           5.365e-13                       |         5.45523536e+14      5.40459862e-27                    
             5498.25          5.8246e-13                       |         5.45250687e+14      5.87346476e-27                    
                5501          5.5642e-13                       |         5.44978111e+14      5.61649423e-27                    
             5503.75          5.4859e-13                       |         5.44705808e+14      5.54299618e-27                    
              5506.5          5.8199e-13                       |         5.44433776e+14      5.88635032e-27                    
             5509.25          5.7838e-13                       |         5.44162017e+14      5.85568253e-27                    
                5512          6.0426e-13                       |         5.43890528e+14      6.12380792e-27                    
             5514.75          5.5411e-13                       |         5.43619310e+14      5.62117288e-27                    
              5517.5           5.224e-13                       |         5.43348362e+14      5.30477719e-27                    
             5520.25          5.0949e-13                       |         5.43077685e+14      5.17883951e-27                    
                5523          5.3054e-13                       |         5.42807277e+14      5.39818191e-27                    
             5525.75          5.1366e-13                       |         5.42537138e+14      5.23163586e-27                    
              5528.5          4.8769e-13                       |         5.42267268e+14      4.97207618e-27                    
             5531.25          4.6321e-13                       |         5.41997666e+14      4.72719806e-27                    
                5534          4.7323e-13                       |         5.41728332e+14      4.83425855e-27                    
             5536.75          5.2361e-13                       |         5.41459266e+14      5.35423041e-27                    
              5539.5          4.5694e-13                       |         5.41190467e+14      4.67713178e-27                    
             5542.25          5.4138e-13                       |         5.40921934e+14      5.54694331e-27                    
                5545          5.0802e-13                       |         5.40653668e+14      5.21030572e-27                    
             5547.75          4.6311e-13                       |         5.40385668e+14      4.75441644e-27                    
              5550.5          4.5686e-13                       |         5.40117934e+14      4.69490323e-27                    
             5553.25          5.5546e-13                       |         5.39850464e+14      5.71381975e-27                    
                5556          5.4668e-13                       |         5.39583260e+14      5.62907397e-27                    
             5558.75           5.613e-13                       |         5.39316319e+14      5.78533648e-27                    
              5561.5          5.5152e-13                       |         5.39049643e+14      5.69015956e-27                    
             5564.25           5.566e-13                       |         5.38783230e+14      5.74825157e-27                    
                5567          5.2088e-13                       |         5.38517081e+14      5.38467407e-27                    
             5569.75          5.4718e-13                       |         5.38251194e+14      5.66214406e-27                    
              5572.5          5.3699e-13                       |         5.37985570e+14      5.56218780e-27                    
             5575.25          4.9822e-13                       |         5.37720208e+14      5.16569958e-27                    
                5578          5.8321e-13                       |         5.37455108e+14      6.05286904e-27                    
             5580.75          5.1861e-13                       |         5.37190268e+14      5.38772373e-27                    
              5583.5           4.479e-13                       |         5.36925690e+14      4.65772023e-27                    
             5586.25          5.0516e-13                       |         5.36661372e+14      5.25834390e-27                    
                5589          5.6943e-13                       |         5.36397314e+14      5.93318457e-27                    
             5591.75          5.6415e-13                       |         5.36133516e+14      5.88395552e-27                    
              5594.5          5.2679e-13                       |         5.35869978e+14      5.49970474e-27                    
             5597.25          5.3222e-13                       |         5.35606698e+14      5.56185799e-27                    
                5600          5.2494e-13                       |         5.35343677e+14      5.49117161e-27                    
             5602.75          5.0024e-13                       |         5.35080914e+14      5.23793615e-27                    
              5605.5          4.7654e-13                       |         5.34818409e+14      4.99467656e-27                    
             5608.25          5.3817e-13                       |         5.34556161e+14      5.64616428e-27                    
                5611          4.8707e-13                       |         5.34294170e+14      5.11506567e-27                    
             5613.75          5.4989e-13                       |         5.34032436e+14      5.78044474e-27                    
              5616.5          4.9749e-13                       |         5.33770959e+14      5.23474074e-27                    
             5619.25          5.2723e-13                       |         5.33509737e+14      5.55310798e-27                    
                5622          5.3879e-13                       |         5.33248771e+14      5.68042074e-27                    
             5624.75          6.1112e-13                       |         5.32988060e+14      6.44929498e-27                    
              5627.5          5.2889e-13                       |         5.32727604e+14      5.58696124e-27                    
             5630.25          5.2556e-13                       |         5.32467402e+14      5.55721191e-27                    
                5633          5.3296e-13                       |         5.32207454e+14      5.64096511e-27                    
             5635.75          4.4238e-13                       |         5.31947760e+14      4.68681940e-27                    
              5638.5          5.4404e-13                       |         5.31688320e+14      5.76948830e-27                    
             5641.25          5.6985e-13                       |         5.31429132e+14      6.04909690e-27                    
                5644          5.8282e-13                       |         5.31170197e+14      6.19280995e-27                    
             5646.75           5.472e-13                       |         5.30911514e+14      5.81999358e-27                    
              5649.5          4.6214e-13                       |         5.30653083e+14      4.92008812e-27                    
             5652.25          4.8682e-13                       |         5.30394903e+14      5.18788610e-27                    
                5655          5.1857e-13                       |         5.30136974e+14      5.53161445e-27                    
             5657.75          5.1084e-13                       |         5.29879297e+14      5.45445921e-27                    
              5660.5          5.4207e-13                       |         5.29621869e+14      5.79354331e-27                    
             5663.25          5.0765e-13                       |         5.29364692e+14      5.43094186e-27                    
                5666          5.5871e-13                       |         5.29107764e+14      5.98299832e-27                    
             5668.75           5.182e-13                       |         5.28851085e+14      5.55458111e-27                    
              5671.5          4.7115e-13                       |         5.28594656e+14      5.05515369e-27                    
             5674.25          4.9787e-13                       |         5.28338475e+14      5.34702465e-27                    
                5677          5.2168e-13                       |         5.28082542e+14      5.60817131e-27                    
             5679.75           4.856e-13                       |         5.27826857e+14      5.22536238e-27                    
              5682.5          5.2617e-13                       |         5.27571419e+14      5.66740524e-27                    
             5685.25          5.6326e-13                       |         5.27316229e+14      6.07277709e-27                    
                5688           5.564e-13                       |         5.27061285e+14      6.00462088e-27                    
             5690.75          5.4303e-13                       |         5.26806588e+14      5.86600100e-27                    
              5693.5          5.8456e-13                       |         5.26552137e+14      6.32072710e-27                    
             5696.25          5.3029e-13                       |         5.26297931e+14      5.73945713e-27                    
                5699          5.4848e-13                       |         5.26043971e+14      5.94206510e-27                    
             5701.75           5.605e-13                       |         5.25790256e+14      6.07814778e-27                    
              5704.5          5.4903e-13                       |         5.25536785e+14      5.95950983e-27                    
             5707.25          5.3409e-13                       |         5.25283559e+14      5.80293273e-27                    
                5710          5.1385e-13                       |         5.25030576e+14      5.58840501e-27                    
             5712.75          5.3105e-13                       |         5.24777837e+14      5.78102898e-27                    
              5715.5          4.8372e-13                       |         5.24525342e+14      5.27086385e-27                    
             5718.25           4.724e-13                       |         5.24273089e+14      5.15246988e-27                    
                5721          4.7126e-13                       |         5.24021078e+14      5.14498094e-27                    
             5723.75          5.0267e-13                       |         5.23769310e+14      5.49317678e-27                    
              5726.5          5.4089e-13                       |         5.23517784e+14      5.91652601e-27                    
             5729.25          5.5035e-13                       |         5.23266499e+14      6.02578752e-27                    
                5732          5.5387e-13                       |         5.23015455e+14      6.07015110e-27                    
             5734.75           5.528e-13                       |         5.22764652e+14      6.06423901e-27                    
              5737.5          5.4297e-13                       |         5.22514090e+14      5.96211745e-27                    
             5740.25          5.2676e-13                       |         5.22263767e+14      5.78966852e-27                    
                5743          5.4588e-13                       |         5.22013684e+14      6.00556831e-27                    
             5745.75          5.4355e-13                       |         5.21763841e+14      5.98566280e-27                    
              5748.5          5.4907e-13                       |         5.21514237e+14      6.05223918e-27                    
             5751.25          5.5761e-13                       |         5.21264871e+14      6.15225520e-27                    
                5754           5.585e-13                       |         5.21015744e+14      6.16796908e-27                    
             5756.75          5.3906e-13                       |         5.20766855e+14      5.95896922e-27                    
              5759.5          5.1496e-13                       |         5.20518203e+14      5.69799885e-27                    
             5762.25          5.0821e-13                       |         5.20269789e+14      5.62868176e-27                    
                5765          5.4796e-13                       |         5.20021611e+14      6.07472715e-27                    
             5767.75          5.4911e-13                       |         5.19773671e+14      6.09328517e-27                    
              5770.5          5.3449e-13                       |         5.19525967e+14      5.93670912e-27                    
             5773.25          5.6886e-13                       |         5.19278498e+14      6.32448870e-27                    
                5776          5.7726e-13                       |         5.19031266e+14      6.42399405e-27                    
             5778.75          5.5356e-13                       |         5.18784268e+14      6.16611768e-27                    
              5781.5           5.234e-13                       |         5.18537506e+14      5.83571500e-27                    
             5784.25          5.3912e-13                       |         5.18290978e+14      6.01670681e-27                    
                5787           5.605e-13                       |         5.18044685e+14      6.26126200e-27                    
             5789.75          5.2042e-13                       |         5.17798625e+14      5.81906083e-27                    
              5792.5          5.1956e-13                       |         5.17552799e+14      5.81496478e-27                    
             5795.25          5.1275e-13                       |         5.17307207e+14      5.74419687e-27                    
                5798          5.4801e-13                       |         5.17061847e+14      6.14503274e-27                    
             5800.75          5.3613e-13                       |         5.16816720e+14      6.01752222e-27                    
              5803.5          5.3976e-13                       |         5.16571826e+14      6.06401086e-27                    
             5806.25          5.3827e-13                       |         5.16327163e+14      6.05300362e-27                    
                5809          5.1822e-13                       |         5.16082732e+14      5.83305698e-27                    
             5811.75          5.6318e-13                       |         5.15838532e+14      6.34512771e-27                    
              5814.5          5.6855e-13                       |         5.15594564e+14      6.41169285e-27                    
             5817.25          5.1744e-13                       |         5.15350826e+14      5.84083248e-27                    
                5820          5.2325e-13                       |         5.15107318e+14      5.91200104e-27                    
             5822.75          5.8583e-13                       |         5.14864040e+14      6.62532507e-27                    
              5825.5          5.7473e-13                       |         5.14620992e+14      6.50593284e-27                    
             5828.25           5.528e-13                       |         5.14378174e+14      6.26359509e-27                    
                5831           5.545e-13                       |         5.14135584e+14      6.28878763e-27                    
             5833.75          6.0473e-13                       |         5.13893223e+14      6.86493513e-27                    
              5836.5          5.7657e-13                       |         5.13651091e+14      6.55143319e-27                    
             5839.25          5.3392e-13                       |         5.13409186e+14      6.07252937e-27                    
                5842          5.7362e-13                       |         5.13167509e+14      6.53020306e-27                    
             5844.75            5.84e-13                       |         5.12926060e+14      6.65463166e-27                    
              5847.5          5.7477e-13                       |         5.12684838e+14      6.55562117e-27                    
             5850.25          5.9564e-13                       |         5.12443843e+14      6.80004836e-27                    
                5853          6.0668e-13                       |         5.12203074e+14      6.93259807e-27                    
             5855.75          6.1237e-13                       |         5.11962531e+14      7.00419545e-27                    
              5858.5          5.1984e-13                       |         5.11722214e+14      5.95143724e-27                    
             5861.25          4.9309e-13                       |         5.11482122e+14      5.65048833e-27                    
                5864          5.6583e-13                       |         5.11242256e+14      6.49012690e-27                    
             5866.75          5.5139e-13                       |         5.11002615e+14      6.33043196e-27                    
              5869.5          5.6613e-13                       |         5.10763198e+14      6.50575462e-27                    
             5872.25          5.5497e-13                       |         5.10524005e+14      6.38348549e-27                    
                5875          5.9272e-13                       |         5.10285037e+14      6.82408801e-27                    
             5877.75          5.7962e-13                       |         5.10046292e+14      6.67951422e-27                    
              5880.5           5.494e-13                       |         5.09807770e+14      6.33718608e-27                    
             5883.25          5.5969e-13                       |         5.09569471e+14      6.46191811e-27                    
                5886          5.5881e-13                       |         5.09331395e+14      6.45779093e-27                    
             5888.75           4.063e-13                       |         5.09093541e+14      4.69972398e-27                    
              5891.5          5.4292e-13                       |         5.08855909e+14      6.28589178e-27                    
             5894.25          4.3905e-13                       |         5.08618499e+14      5.08803841e-27                    
                5897          5.8208e-13                       |         5.08381311e+14      6.75187244e-27                    
             5899.75          4.9164e-13                       |         5.08144343e+14      5.70812827e-27                    
              5902.5          4.4548e-13                       |         5.07907597e+14      5.17701589e-27                    
             5905.25          4.3252e-13                       |         5.07671071e+14      5.03108977e-27                    
                5908          4.5362e-13                       |         5.07434765e+14      5.28144137e-27                    
             5910.75          5.1051e-13                       |         5.07198679e+14      5.94933920e-27                    
              5913.5          5.3982e-13                       |         5.06962812e+14      6.29676476e-27                    
             5916.25          5.6973e-13                       |         5.06727165e+14      6.65183425e-27                    
                5919          5.0107e-13                       |         5.06491737e+14      5.85564011e-27                    
             5921.75          4.7466e-13                       |         5.06256527e+14      5.55216121e-27                    
              5924.5          5.1868e-13                       |         5.06021536e+14      6.07270529e-27                    
             5927.25          5.9589e-13                       |         5.05786763e+14      6.98315824e-27                    
                5930          5.4499e-13                       |         5.05552207e+14      6.39259537e-27                    
             5932.75          4.2727e-13                       |         5.05317869e+14      5.01641886e-27                    
              5935.5          4.8947e-13                       |         5.05083749e+14      5.75201478e-27                    
             5938.25          5.1812e-13                       |         5.04849845e+14      6.09433899e-27                    
                5941           5.683e-13                       |         5.04616157e+14      6.69076931e-27                    
             5943.75          4.9858e-13                       |         5.04382686e+14      5.87536995e-27                    
              5946.5          4.7909e-13                       |         5.04149431e+14      5.65092116e-27                    
             5949.25          5.4946e-13                       |         5.03916391e+14      6.48693903e-27                    
                5952          5.3988e-13                       |         5.03683567e+14      6.37973119e-27                    
             5954.75           5.863e-13                       |         5.03450958e+14      6.93467729e-27                    
              5957.5          5.0388e-13                       |         5.03218563e+14      5.96533061e-27                    
             5960.25          4.5143e-13                       |         5.02986383e+14      5.34932107e-27                    
                5963          5.3554e-13                       |         5.02754417e+14      6.35185870e-27                    
             5965.75          5.4743e-13                       |         5.02522665e+14      6.49887209e-27                    
              5968.5            5.13e-13                       |         5.02291127e+14      6.09574873e-27                    
             5971.25          5.4639e-13                       |         5.02059802e+14      6.49849137e-27                    
                5974          4.9121e-13                       |         5.01828689e+14      5.84759023e-27                    
             5976.75          4.7648e-13                       |         5.01597790e+14      5.67746090e-27                    
              5979.5          4.8733e-13                       |         5.01367103e+14      5.81208803e-27                    
             5982.25          5.1998e-13                       |         5.01136628e+14      6.20719018e-27                    
                5985          5.4013e-13                       |         5.00906364e+14      6.45365737e-27                    
             5987.75          5.1005e-13                       |         5.00676312e+14      6.09985296e-27                    
              5990.5          5.9731e-13                       |         5.00446472e+14      7.14998657e-27                    
             5993.25          4.9496e-13                       |         5.00216842e+14      5.93026618e-27                    
                5996          5.9348e-13                       |         4.99987423e+14      7.11719118e-27                    
             5998.75          5.4031e-13                       |         4.99758215e+14      6.48550543e-27                    
              6001.5          5.1553e-13                       |         4.99529216e+14      6.19373842e-27                    
             6004.25          5.7908e-13                       |         4.99300427e+14      6.96362531e-27                    
                6007          5.1488e-13                       |         4.99071848e+14      6.19727234e-27                    
             6009.75          5.7571e-13                       |         4.98843478e+14      6.93578913e-27                    
              6012.5          6.1794e-13                       |         4.98615316e+14      7.45136406e-27                    
             6015.25          5.9174e-13                       |         4.98387364e+14      7.14196285e-27                    
                6018          5.3633e-13                       |         4.98159619e+14      6.47911596e-27                    
             6020.75           5.194e-13                       |         4.97932083e+14      6.28032950e-27                    
              6023.5          6.0662e-13                       |         4.97704755e+14      7.34165293e-27                    
             6026.25           5.423e-13                       |         4.97477634e+14      6.56921066e-27                    
                6029          4.9627e-13                       |         4.97250720e+14      6.01710910e-27                    
             6031.75          5.0517e-13                       |         4.97024013e+14      6.13060751e-27                    
              6034.5            5.63e-13                       |         4.96797513e+14      6.83864837e-27                    
             6037.25           5.757e-13                       |         4.96571219e+14      6.99928770e-27                    
                6040          5.4554e-13                       |         4.96345131e+14      6.63864999e-27                    
             6042.75          6.0524e-13                       |         4.96119249e+14      7.37184461e-27                    
              6045.5          5.9674e-13                       |         4.95893572e+14      7.27493130e-27                    
             6048.25          5.7971e-13                       |         4.95668101e+14      7.07374754e-27                    
                6051          5.4231e-13                       |         4.95442834e+14      6.62340352e-27                    
             6053.75          5.7431e-13                       |         4.95217772e+14      7.02060660e-27                    
              6056.5          5.6526e-13                       |         4.94992915e+14      6.91625493e-27                    
             6059.25          5.4265e-13                       |         4.94768262e+14      6.64564053e-27                    
                6062          5.5677e-13                       |         4.94543812e+14      6.82475376e-27                    
             6064.75           5.374e-13                       |         4.94319566e+14      6.59329889e-27                    
              6067.5          5.7681e-13                       |         4.94095524e+14      7.08323494e-27                    
             6070.25          5.8585e-13                       |         4.93871684e+14      7.20076910e-27                    
                6073          6.3501e-13                       |         4.93648047e+14      7.81207533e-27                    
             6075.75          5.6229e-13                       |         4.93424613e+14      6.92371921e-27                    
              6078.5          5.8725e-13                       |         4.93201380e+14      7.23760976e-27                    
             6081.25          5.3064e-13                       |         4.92978350e+14      6.54583411e-27                    
                6084          5.4436e-13                       |         4.92755521e+14      6.72115501e-27                    
             6086.75          5.5521e-13                       |         4.92532894e+14      6.86131731e-27                    
              6089.5          5.4271e-13                       |         4.92310467e+14      6.71290327e-27                    
             6092.25          5.4659e-13                       |         4.92088242e+14      6.76700365e-27                    
                6095          5.4088e-13                       |         4.91866217e+14      6.70235826e-27                    
             6097.75          5.5737e-13                       |         4.91644392e+14      6.91292929e-27                    
              6100.5          6.0927e-13                       |         4.91422767e+14      7.56345022e-27                    
             6103.25          5.3941e-13                       |         4.91201342e+14      6.70224977e-27                    
                6106           5.242e-13                       |         4.90980116e+14      6.51913406e-27                    
             6108.75          5.3833e-13                       |         4.90759090e+14      6.70089145e-27                    
              6111.5           5.363e-13                       |         4.90538262e+14      6.68163465e-27                    
             6114.25           4.993e-13                       |         4.90317633e+14      6.22625991e-27                    
                6117          5.0589e-13                       |         4.90097203e+14      6.31411302e-27                    
             6119.75          5.3276e-13                       |         4.89876970e+14      6.65546292e-27                    
              6122.5          5.5483e-13                       |         4.89656936e+14      6.93740132e-27                    
             6125.25          5.1469e-13                       |         4.89437099e+14      6.44128720e-27                    
                6128          5.0348e-13                       |         4.89217459e+14      6.30665440e-27                    
             6130.75          5.5713e-13                       |         4.88998017e+14      6.98494602e-27                    
              6133.5          4.9129e-13                       |         4.88778771e+14      6.16501247e-27                    
             6136.25          4.9127e-13                       |         4.88559721e+14      6.17029077e-27                    
                6139          5.3974e-13                       |         4.88340868e+14      6.78514553e-27                    
             6141.75          5.0737e-13                       |         4.88122211e+14      6.38393342e-27                    
              6144.5          5.2954e-13                       |         4.87903750e+14      6.66885330e-27                    
             6147.25          5.5314e-13                       |         4.87685484e+14      6.97230075e-27                    
                6150          5.0885e-13                       |         4.87467413e+14      6.41976759e-27                    
             6152.75          5.0772e-13                       |         4.87249537e+14      6.41124104e-27                    
              6155.5          5.6112e-13                       |         4.87031856e+14      7.09188550e-27                    
             6158.25          5.4023e-13                       |         4.86814369e+14      6.83396302e-27                    
                6161          4.9799e-13                       |         4.86597077e+14      6.30525035e-27                    
             6163.75          5.2958e-13                       |         4.86379978e+14      6.71121114e-27                    
              6166.5          4.9781e-13                       |         4.86163073e+14      6.31422980e-27                    
             6169.25          4.5191e-13                       |         4.85946361e+14      5.73714712e-27                    
                6172          4.7914e-13                       |         4.85729843e+14      6.08826516e-27                    
             6174.75          4.6478e-13                       |         4.85513517e+14      5.91106159e-27                    
              6177.5          4.6006e-13                       |         4.85297384e+14      5.85624556e-27                    
             6180.25          5.0472e-13                       |         4.85081443e+14      6.43045786e-27                    
                6183          4.8409e-13                       |         4.84865695e+14      6.17310835e-27                    
             6185.75           4.886e-13                       |         4.84650138e+14      6.23616340e-27                    
              6188.5          5.2171e-13                       |         4.84434773e+14      6.66467916e-27                    
             6191.25          5.0479e-13                       |         4.84219599e+14      6.45426393e-27                    
                6194          4.9804e-13                       |         4.84004616e+14      6.37361641e-27                    
             6196.75          5.3386e-13                       |         4.83789824e+14      6.83808711e-27                    
              6199.5          5.3963e-13                       |         4.83575222e+14      6.91812986e-27                    
             6202.25          5.2485e-13                       |         4.83360811e+14      6.73461902e-27                    
                6205          5.1068e-13                       |         4.83146590e+14      6.55860864e-27                    
             6207.75          4.8427e-13                       |         4.82932558e+14      6.22494185e-27                    
              6210.5          5.0264e-13                       |         4.82718717e+14      6.46680067e-27                    
             6213.25          5.5779e-13                       |         4.82505064e+14      7.18269916e-27                    
                6216          5.5477e-13                       |         4.82291601e+14      7.15013555e-27                    
             6218.75          5.4165e-13                       |         4.82078326e+14      6.98721713e-27                    
              6221.5          5.2129e-13                       |         4.81865240e+14      6.73052436e-27                    
             6224.25          5.2417e-13                       |         4.81652342e+14      6.77369305e-27                    
                6227           5.316e-13                       |         4.81439632e+14      6.87578043e-27                    
             6229.75          4.9816e-13                       |         4.81227110e+14      6.44895558e-27                    
              6232.5          5.1608e-13                       |         4.81014776e+14      6.68683949e-27                    
             6235.25          5.1706e-13                       |         4.80802629e+14      6.70545079e-27                    
                6238          5.4514e-13                       |         4.80590668e+14      7.07584134e-27                    
             6240.75          5.4764e-13                       |         4.80378895e+14      7.11455970e-27                    
              6243.5          5.0608e-13                       |         4.80167308e+14      6.58043650e-27                    
             6246.25          5.9472e-13                       |         4.79955908e+14      7.73981472e-27                    
                6249          5.3771e-13                       |         4.79744694e+14      7.00403743e-27                    
             6251.75          5.5944e-13                       |         4.79533665e+14      7.29350049e-27                    
              6254.5          5.1337e-13                       |         4.79322822e+14      6.69876859e-27                    
             6257.25          4.2002e-13                       |         4.79112164e+14      5.48550077e-27                    
                6260          4.5609e-13                       |         4.78901692e+14      5.96181523e-27                    
             6262.75           5.338e-13                       |         4.78691404e+14      6.98373926e-27                    
              6265.5           5.313e-13                       |         4.78481301e+14      6.95713739e-27                    
             6268.25          5.5601e-13                       |         4.78271382e+14      7.28709644e-27                    
                6271          5.4082e-13                       |         4.78061647e+14      7.09423615e-27                    
             6273.75          5.2046e-13                       |         4.77852096e+14      6.83315183e-27                    
              6276.5          5.3135e-13                       |         4.77642729e+14      6.98224441e-27                    
             6279.25          4.7877e-13                       |         4.77433545e+14      6.29682717e-27                    
                6282             4.8e-13                       |         4.77224545e+14      6.31853502e-27                    
             6284.75          5.1152e-13                       |         4.77015727e+14      6.73934870e-27                    
              6287.5          4.4589e-13                       |         4.76807092e+14      5.87980637e-27                    
             6290.25          4.8193e-13                       |         4.76598639e+14      6.36061443e-27                    
                6293          5.1895e-13                       |         4.76390369e+14      6.85520230e-27                    
             6295.75          4.7007e-13                       |         4.76182280e+14      6.21493770e-27                    
              6298.5         -1.3374e-13                       |         4.75974373e+14     -1.76976207e-27                    
             6301.25          1.3757e-13                       |         4.75766648e+14      1.82203390e-27                    
                6304          2.9441e-13                       |         4.75559104e+14      3.90269185e-27                    
             6306.75          5.2878e-13                       |         4.75351741e+14      7.01561177e-27                    
              6309.5          5.0204e-13                       |         4.75144558e+14      6.66664771e-27                    
             6312.25          5.1263e-13                       |         4.74937556e+14      6.81320876e-27                    
                6315          5.8494e-13                       |         4.74730735e+14      7.78103424e-27                    
             6317.75          6.1091e-13                       |         4.74524093e+14      8.13357363e-27                    
              6320.5          4.1128e-13                       |         4.74317632e+14      5.48049465e-27                    
             6323.25          5.7929e-13                       |         4.74111349e+14      7.72602364e-27                    
                6326          5.0539e-13                       |         4.73905247e+14      6.74627927e-27                    
             6328.75           4.832e-13                       |         4.73699323e+14      6.45568159e-27                    
              6331.5          5.8157e-13                       |         4.73493578e+14      7.77668510e-27                    
             6334.25          4.7511e-13                       |         4.73288012e+14      6.35863458e-27                    
                6337          5.4618e-13                       |         4.73082624e+14      7.31614835e-27                    
             6339.75          4.6232e-13                       |         4.72877415e+14      6.19820936e-27                    
              6342.5          4.6904e-13                       |         4.72672383e+14      6.29375928e-27                    
             6345.25          5.6898e-13                       |         4.72467529e+14      7.64141475e-27                    
                6348          5.0094e-13                       |         4.72262853e+14      6.73346866e-27                    
             6350.75          5.1607e-13                       |         4.72058354e+14      6.94285257e-27                    
              6353.5          5.2676e-13                       |         4.71854032e+14      7.09280717e-27                    
             6356.25          4.5771e-13                       |         4.71649886e+14      6.16838734e-27                    
                6359          5.1849e-13                       |         4.71445918e+14      6.99354430e-27                    
             6361.75          4.6184e-13                       |         4.71242125e+14      6.23482168e-27                    
              6364.5          4.8626e-13                       |         4.71038509e+14      6.57016722e-27                    
             6367.25          5.1325e-13                       |         4.70835069e+14      6.94084039e-27                    
                6370           5.027e-13                       |         4.70631804e+14      6.80404294e-27                    
             6372.75           4.938e-13                       |         4.70428714e+14      6.68935346e-27                    
              6375.5            5.14e-13                       |         4.70225800e+14      6.96900723e-27                    
             6378.25          4.6203e-13                       |         4.70023061e+14      6.26978353e-27                    
                6381          4.5437e-13                       |         4.69820497e+14      6.17115471e-27                    
             6383.75          5.0954e-13                       |         4.69618107e+14      6.92642794e-27                    
              6386.5           5.677e-13                       |         4.69415891e+14      7.72367557e-27                    
             6389.25          4.9889e-13                       |         4.69213850e+14      6.79334792e-27                    
                6392          5.8155e-13                       |         4.69011982e+14      7.92574122e-27                    
             6394.75          5.7247e-13                       |         4.68810288e+14      7.80870775e-27                    
              6397.5          5.7785e-13                       |         4.68608767e+14      7.88887369e-27                    
             6400.25          5.0547e-13                       |         4.68407420e+14      6.90666763e-27                    
                6403          5.4763e-13                       |         4.68206246e+14      7.48916727e-27                    
             6405.75          5.6061e-13                       |         4.68005244e+14      7.67326340e-27                    
              6408.5          5.6336e-13                       |         4.67804414e+14      7.71752563e-27                    
             6411.25          5.6959e-13                       |         4.67603757e+14      7.80956917e-27                    
                6414          5.0722e-13                       |         4.67403273e+14      6.96039003e-27                    
             6416.75          4.7575e-13                       |         4.67202959e+14      6.53413843e-27                    
              6419.5          5.1534e-13                       |         4.67002818e+14      7.08395111e-27                    
             6422.25          5.1213e-13                       |         4.66802848e+14      7.04585867e-27                    
                6425          4.9893e-13                       |         4.66603049e+14      6.87013353e-27                    
