#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              826.04          1.7849e-15                       |         3.62927290e+15      4.06251840e-31                    
               835.6          1.5332e-15                       |         3.58775083e+15      3.57087764e-31                    
              847.23          1.9214e-15                       |         3.53850146e+15      4.60044384e-31                    
              857.04          1.9843e-15                       |         3.49799845e+15      4.86170734e-31                    
              866.96           2.141e-15                       |         3.45797337e+15      5.36777228e-31                    
                 877          2.2731e-15                       |         3.41838608e+15      5.83172484e-31                    
              887.16          2.4189e-15                       |         3.37923778e+15      6.35040048e-31                    
              897.43          2.5446e-15                       |         3.34056650e+15      6.83596744e-31                    
              905.73          2.5919e-15                       |         3.30995395e+15      7.09242975e-31                    
              916.22          3.1522e-15                       |         3.27205757e+15      8.82658272e-31                    
              926.83          1.3354e-14                       |         3.23460029e+15      3.82640410e-30                    
              937.56          2.7328e-14                       |         3.19758158e+15      8.01281813e-30                    
              946.24          4.9615e-14                       |         3.16824969e+15      1.48181811e-29                    
              957.19          6.9922e-14                       |         3.13200576e+15      2.13692580e-29                    
              966.05          7.7199e-14                       |         3.10328098e+15      2.40320146e-29                    
              977.24          1.4744e-14                       |         3.06774650e+15      4.69674615e-30                    
              986.28          6.2174e-14                       |         3.03962829e+15      2.01738393e-29                    
               997.7          6.8016e-14                       |         3.00483571e+15      2.25834520e-29                    
             1006.93          1.0271e-13                       |         2.97729196e+15      3.47368622e-29                    
             1016.25          1.0177e-13                       |         2.94998730e+15      3.50590535e-29                    
             1025.65          4.8263e-14                       |         2.92295090e+15      1.69352643e-29                    
             1037.53          7.2546e-14                       |         2.88948232e+15      2.60491822e-29                    
             1047.13          1.3887e-13                       |         2.86299179e+15      5.07912540e-29                    
             1056.82          1.3665e-13                       |         2.83674097e+15      5.09085795e-29                    
              1066.6          1.0656e-13                       |         2.81072997e+15      4.04367894e-29                    
             1076.47          1.2871e-13                       |         2.78495879e+15      4.97502707e-29                    
             1086.43           1.013e-13                       |         2.75942729e+15      3.98834060e-29                    
             1096.48           1.376e-13                       |         2.73413522e+15      5.51822187e-29                    
             1106.62          1.3293e-13                       |         2.70908224e+15      5.42999376e-29                    
             1116.86          1.2753e-13                       |         2.68424385e+15      5.30626737e-29                    
              1127.2          1.1392e-13                       |         2.65962082e+15      4.82815531e-29                    
             1137.63           1.488e-13                       |         2.63523693e+15      6.42368593e-29                    
             1148.15          1.3602e-13                       |         2.61109140e+15      5.98107608e-29                    
             1156.11          1.4575e-13                       |         2.59311362e+15      6.49809677e-29                    
             1166.81          1.4983e-13                       |         2.56933399e+15      6.80422020e-29                    
             1177.61          1.0084e-13                       |         2.54577032e+15      4.66460746e-29                    
             1185.77          1.4676e-13                       |         2.52825134e+15      6.88316080e-29                    
             1196.74          1.0153e-13                       |         2.50507595e+15      4.85035243e-29                    
             1207.81          7.4065e-14                       |         2.48211605e+15      3.60403969e-29                    
             1216.19          5.5541e-14                       |         2.46501335e+15      2.74028572e-29                    
             1227.44          1.0534e-13                       |         2.44242048e+15      5.29386855e-29                    
             1235.95          1.5798e-13                       |         2.42560345e+15      8.04976513e-29                    
             1247.38          1.7323e-13                       |         2.40337715e+15      8.99083348e-29                    
             1256.03          1.6543e-13                       |         2.38682563e+15      8.70549741e-29                    
             1267.65          1.4375e-13                       |         2.36494663e+15      7.70523468e-29                    
             1276.44           1.869e-13                       |         2.34866080e+15      1.01575603e-28                    
             1288.25          1.9661e-13                       |         2.32712951e+15      1.08839165e-28                    
             1297.18          1.5368e-13                       |         2.31110917e+15      8.62575534e-29                    
             1306.17          1.5297e-13                       |         2.29520245e+15      8.70532464e-29                    
             1318.26          1.9436e-13                       |         2.27415274e+15      1.12664822e-28                    
             1327.39          1.8604e-13                       |         2.25851075e+15      1.09340916e-28                    
              1336.6          1.6429e-13                       |         2.24294822e+15      9.79024001e-29                    
             1345.86          1.9798e-13                       |         2.22751593e+15      1.19619060e-28                    
             1358.31          1.9214e-13                       |         2.20709896e+15      1.18248292e-28                    
             1367.73          1.7164e-13                       |         2.19189796e+15      1.07102238e-28                    
             1377.21          1.8056e-13                       |         2.17681007e+15      1.14235524e-28                    
             1386.76          1.8265e-13                       |         2.16181934e+15      1.17165995e-28                    
             1396.37          1.5439e-13                       |         2.14694142e+15      1.00415206e-28                    
             1406.05          1.5945e-13                       |         2.13216073e+15      1.05149049e-28                    
             1415.79          1.7006e-13                       |         2.11749242e+15      1.13704892e-28                    
             1428.89          1.7483e-13                       |         2.09807934e+15      1.19067394e-28                    
              1438.8          1.7564e-13                       |         2.08362843e+15      1.21284020e-28                    
             1445.44          1.8561e-13                       |         2.07405675e+15      1.29354280e-28                    
             1448.77          1.8863e-13                       |         2.06928953e+15      1.32065369e-28                    
             1458.81          1.8307e-13                       |         2.05504801e+15      1.29955283e-28                    
             1468.93          1.6889e-13                       |         2.04089003e+15      1.21558528e-28                    
             1475.71          1.7006e-13                       |         2.03151337e+15      1.23533149e-28                    
             1485.94          1.7443e-13                       |         2.01752735e+15      1.28470384e-28                    
             1496.24          1.7767e-13                       |         2.00363885e+15      1.32677085e-28                    
             1506.61          1.6773e-13                       |         1.98984780e+15      1.26996495e-28                    
             1513.56          1.4915e-13                       |         1.98071077e+15      1.13972962e-28                    
             1520.55          1.6018e-13                       |         1.97160540e+15      1.23534709e-28                    
             1527.57          1.5582e-13                       |         1.96254482e+15      1.21284342e-28                    
             1538.15          1.3416e-13                       |         1.94904567e+15      1.05876536e-28                    
             1548.82          1.4408e-13                       |         1.93561846e+15      1.15288209e-28                    
             1555.97          1.3792e-13                       |         1.92672390e+15      1.11380454e-28                    
             1566.75          1.4342e-13                       |         1.91346711e+15      1.17432531e-28                    
             1577.61          1.5403e-13                       |         1.90029512e+15      1.27874489e-28                    
             1588.55          1.6241e-13                       |         1.88720820e+15      1.36707972e-28                    
             1595.88          1.6543e-13                       |         1.87854011e+15      1.40538084e-28                    
             1606.94          1.6316e-13                       |         1.86561078e+15      1.40537530e-28                    
             1618.08          1.6354e-13                       |         1.85276661e+15      1.42824683e-28                    
              1629.3          1.5582e-13                       |         1.84000773e+15      1.37976337e-28                    
             1636.82          1.6696e-13                       |         1.83155423e+15      1.49208505e-28                    
             1648.16          1.6967e-13                       |         1.81895240e+15      1.53738661e-28                    
             1655.77          1.5835e-13                       |         1.81059241e+15      1.44809610e-28                    
             1667.25          1.7203e-13                       |         1.79812541e+15      1.59508906e-28                    
             1674.94          1.5332e-13                       |         1.78986984e+15      1.43475126e-28                    
              1678.8          1.7483e-13                       |         1.78575446e+15      1.64358880e-28                    
             1686.55          1.8181e-13                       |         1.77754860e+15      1.72502544e-28                    
             1698.24          1.7124e-13                       |         1.76531267e+15      1.64733773e-28                    
             1706.08          1.6505e-13                       |         1.75720048e+15      1.60248365e-28                    
             1717.91          1.5618e-13                       |         1.74509991e+15      1.53746603e-28                    
             1725.84          1.5546e-13                       |         1.73708142e+15      1.54453950e-28                    
              1737.8          1.6658e-13                       |         1.72512636e+15      1.67803780e-28                    
             1745.82          1.6316e-13                       |         1.71720142e+15      1.65879196e-28                    
             1757.92          1.7403e-13                       |         1.70538170e+15      1.79391405e-28                    
             1766.04          1.6055e-13                       |         1.69754059e+15      1.67028537e-28                    
             1778.28          1.6316e-13                       |         1.68585633e+15      1.72104918e-28                    
             1786.49          1.6734e-13                       |         1.67810880e+15      1.78147708e-28                    
             1798.87          1.7849e-13                       |         1.66655989e+15      1.92660527e-28                    
             1807.17          1.7767e-13                       |         1.65890569e+15      1.93549215e-28                    
              1819.7          1.6354e-13                       |         1.64748288e+15      1.80635406e-28                    
              1828.1          1.6773e-13                       |         1.63991280e+15      1.86977755e-28                    
             1836.54          1.6166e-13                       |         1.63237642e+15      1.81879040e-28                    
             1849.27           1.488e-13                       |         1.62113947e+15      1.69739483e-28                    
              1857.8          1.5018e-13                       |         1.61369609e+15      1.72897738e-28                    
             1866.38           1.551e-13                       |         1.60627771e+15      1.80215125e-28                    
             1879.32          1.6734e-13                       |         1.59521773e+15      1.97142623e-28                    
             1887.99          1.5403e-13                       |         1.58789220e+15      1.83140329e-28                    
             1896.71          1.4846e-13                       |         1.58059197e+15      1.78151966e-28                    
             1909.85          1.5798e-13                       |         1.56971730e+15      1.92211746e-28                    
             1918.67          1.5192e-13                       |         1.56250142e+15      1.86549813e-28                    
             1927.53          1.4846e-13                       |         1.55531929e+15      1.83988655e-28                    
             1936.42          1.5368e-13                       |         1.54817890e+15      1.92218758e-28                    
             1949.84          1.6092e-13                       |         1.53752338e+15      2.04073809e-28                    
             1958.84          1.5018e-13                       |         1.53045914e+15      1.92215906e-28                    
             1972.42          1.6543e-13                       |         1.51992202e+15      2.14680383e-28                    
             1976.97          1.7006e-13                       |         1.51642392e+15      2.21708135e-28                    
              1986.1          1.6166e-13                       |         1.50945299e+15      2.12708132e-28                    
             1999.86          1.5762e-13                       |         1.49906723e+15      2.10276048e-28                    
